




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
166,18-Jan-2022,21-Jan-2022,Formwork Concrete,3057,"306,241.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,"1,227.27",100.0000%,0.0000%,"1,227.27",0.00,N/A,0.00,N/A,N/A,N/A,N/A,N/A,0.00,Yes,33.3300%,409.09,818.18
167,18-Jan-2022,21-Jan-2022,Geotechnical investigations and design development works,3125,"50,000.00",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,11-Feb-2022,N/A,No,N/A,Yes,Yes,17-Feb-2022,"49,425.00",,Hourly,"4,090.91",0.0000%,100.0000%,0.00,"4,090.91",N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,"1,363.64","2,727.27"
168,19-Jan-2022,N/A,Plumbing works,3044,"8,000.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Trust,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,19-Jan-2022,N/A,Plumbing works,3046,"3,743.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Trust,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,21-Jan-2022,25-Jan-2022,Structural Work,3056,"391,370.83",Yes,s15,"318,315.70",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,08-Feb-2022,N/A,Yes,Yes,No,Yes,11-Apr-2022,"318,315.70",,Hourly,"11,454.55",50.0000%,50.0000%,"5,727.27","5,727.28",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"3,818.18","7,636.37"
171,24-Jan-2022,26-Jan-2022,Construction works,3040,"14,587.05",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,01-Feb-2022,N/A,No,N/A,No,Yes,02-Feb-2022,"14,587.05",,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
172,25-Jan-2022,N/A,Structural steel works,3124,"18,238.85",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
173,25-Jan-2022,28-Jan-2022,Structural steel works,3030,"13,719.09",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
174,25-Jan-2022,28-Jan-2022,Structural steel works,3148,"11,702.40",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
175,25-Jan-2022,28-Jan-2022,Structural steel works,3809,"10,045.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
176,01-Feb-2022,03-Feb-2022,Internal and external painting,3136,"7,257.00",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,16-Feb-2022,N/A,No,N/A,No,Yes,18-Feb-2022,0.00,,Hourly,"1,363.64",100.0000%,0.0000%,"1,363.64",0.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,454.55,909.09
177,02-Feb-2022,03-Feb-2022,Supply and installation of walls in apartment building,3130,"10,236.86",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Not known,Head contractor,Pty Ltd Company,None,Determined,15-Feb-2022,N/A,No,No,No,Yes,15-Feb-2022,0.00,,Hourly,"2,860.00",100.0000%,0.0000%,"2,860.00",0.00,0,0.00,0.00,No,N/A,N/A,N/A,0.00,Yes,25.0000%,715.00,"2,145.00"
178,03-Feb-2022,09-Feb-2022,Formwork Concrete,3057,"146,427.00",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,N/A,0.0000%,0.0000%,0.00,0.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,No,0.0000%,0.00,0.00
179,04-Feb-2022,10-Feb-2022,Render and Painting,3168,"22,744.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,28-Feb-2022,N/A,No,N/A,No,Yes,11-Mar-2022,"18,544.00",,Hourly,"3,068.18",0.0000%,100.0000%,0.00,"3,068.18",N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,"1,022.73","2,045.45"
180,04-Feb-2022,10-Feb-2022,Render and Painting,3184,"14,031.82",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,28-Feb-2022,N/A,No,N/A,No,Yes,11-Mar-2022,0.00,,Hourly,"1,363.64",100.0000%,0.0000%,"1,363.64",0.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,454.55,909.09
181,04-Feb-2022,10-Feb-2022,Render and Painting,3162,"7,080.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,28-Feb-2022,N/A,No,N/A,No,Yes,11-Mar-2022,0.00,,Hourly,681.82,100.0000%,0.0000%,681.82,0.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,227.27,454.55
182,08-Feb-2022,09-Feb-2022,Steel framing works,3910,"49,117.00",Yes,s15,"22,408.65",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
183,08-Feb-2022,N/A,Structural steel works,3844,"161,593.25",Yes,s15,"132,507.78",s.18(1)(a)(ii),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184,09-Feb-2022,14-Feb-2022,Concreting,3004,"61,843.75",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,22-Feb-2022,N/A,No,N/A,No,Yes,23-Feb-2022,"61,843.75",,Hourly,"1,704.55",0.0000%,100.0000%,0.00,"1,704.55",Merchant Fee,12.27,N/A,Yes,500.00,03-Mar-2022,N/A,0.00,Yes,33.3300%,568.18,"1,136.37"
185,10-Feb-2022,14-Feb-2022,Construction works,3910,"19,517.24",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,08-Mar-2022,N/A,Yes,Yes,Yes,Yes,08-Mar-2022,"22,788.96",,Capped,"2,400.00",0.0000%,100.0000%,0.00,"2,400.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,360.00,"2,040.00"
186,11-Feb-2022,15-Feb-2022,Civil works,3103,"83,452.57",Yes,s15,"17,949.00",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,28-Feb-2022,N/A,N/A,N/A,Yes,Yes,28-Feb-2022,"22,355.65",,Capped,"5,000.00",50.0000%,50.0000%,"2,500.00","2,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
187,11-Feb-2022,16-Feb-2022,Waterproofing,3078,"29,601.94",Yes,s15,"5,476.00",s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,25-Feb-2022,N/A,No,N/A,No,Yes,01-Mar-2022,0.00,,Hourly,"2,454.55",100.0000%,0.0000%,"2,454.55",0.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,818.18,"1,636.37"
188,14-Feb-2022,14-Feb-2022,Construction works,3910,"26,708.35",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,08-Mar-2022,N/A,Yes,Yes,Yes,Yes,08-Mar-2022,"25,517.44",,Capped,"2,400.00",0.0000%,100.0000%,0.00,"2,400.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,360.00,"2,040.00"
189,16-Feb-2022,17-Feb-2022,Structural steel works,3065,"16,827.85",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,04-Mar-2022,N/A,Yes,Yes,Yes,Yes,07-Mar-2022,0.00,,Capped,"1,200.00",100.0000%,0.0000%,"1,200.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
190,17-Feb-2022,N/A,Security Coordination,3840,"225,000.00",Yes,s15,"70,460.03",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
191,17-Feb-2022,N/A,Security Coordination,3840,"225,000.00",Yes,s15,"70,460.03",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
192,17-Feb-2022,N/A,Security Coordination,3840,"225,000.00",Yes,s15,"70,460.03",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
193,17-Feb-2022,N/A,Security Coordination,3840,"225,000.00",Yes,s15,"70,460.03",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
194,17-Feb-2022,N/A,Security Coordination,3840,"225,000.00",Yes,s15,"70,460.03",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
195,21-Feb-2022,24-Feb-2022,Brickworks and Blockwork,3434,"16,516.84",Yes,s18,"12,625.97",s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,03-Mar-2022,N/A,Yes,Yes,No,Yes,07-Mar-2022,"12,625.97",,Hourly,"1,704.55",100.0000%,0.0000%,"1,704.55",0.00,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3330%,568.18,"1,136.37"
196,21-Feb-2022,23-Feb-2022,Construction works,3025,"113,065.80",Yes,s15,"72,175.60",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
197,21-Feb-2022,N/A,External Cladding,3000,"112,251.85",Yes,s15,"44,855.93",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
198,21-Feb-2022,23-Feb-2022,Plastering works,3943,"227,207.44",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,10-Mar-2022,N/A,Yes,Yes,Yes,Not released,Not released,Withheld,Withheld,Hourly,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
199,22-Feb-2022,24-Feb-2022,Concrete kerbing at various sites in Victoria,3076,"30,449.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,No,No,No,N/A,N/A,N/A,N/A,Hourly,"1,800.00",100.0000%,0.0000%,"1,800.00",0.00,0,0.00,0.00,N/A,N/A,N/A,N/A,0.00,Yes,25.0000%,450.00,"1,350.00"
200,22-Feb-2022,28-Feb-2022,Plastering works ,3190,"108,895.00",Yes,s15,"9,436.00",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,15-Mar-2022,N/A,Yes,Yes,No,Yes,21-Mar-2022,"36,955.65",,Hourly,"10,431.82",0.0000%,100.0000%,0.00,"10,431.82",N/A,N/A,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,"3,477.27","6,954.55"
201,23-Feb-2022,01-Mar-2022,Structural steel works,3152,"138,687.50",Yes,s15,"1,200.29",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,23-Mar-2022,N/A,Yes,Yes,Yes,Yes,23-Mar-2022,"10,439.79",,Hourly,"23,320.00",50.0000%,50.0000%,"11,660.00","11,660.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"3,498.00","19,822.00"
202,25-Feb-2022,28-Feb-2022,Landscaping works,3925,"303,654.63",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,13-Mar-2022,N/A,Yes,Yes,Yes,Yes,15-Mar-2022,"273,314.87",,Hourly,"22,880.00",25.0000%,75.0000%,"5,720.00","17,160.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"3,432.00","19,448.00"
203,05-Mar-2022,N/A,Build new house,3335,"1,818.18",Yes,s15,0.00,s.18(1)(a)(i),N/A,Project manager,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
204,07-Mar-2022,10-Mar-2022,Plastering and Framing ,3032,"139,239.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Not determined,,Timed out,No,No,No,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
205,07-Mar-2022,10-Mar-2022,Rigging at apartment building site,3121,"6,205.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Determined,17-Mar-2022,N/A,No,No,No,Yes,1703/2022,0.00,,Fixed,"1,455.00",100.0000%,0.0000%,"1,455.00",0.00,0,0.00,0.00,N/A,N/A,N/A,N/A,0.00,Yes,25.0000%,363.75,"1,091.25"
206,11-Mar-2022,16-Mar-2022,Design and construction works,3351,"45,706.12",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,25-Mar-2022,N/A,Yes,Yes,Yes,Yes,28-Mar-2022,"45,706.12",,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
207,16-Mar-2022,16-Mar-2022,Civil works,3152,"14,302.50",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
208,16-Mar-2022,21-Mar-2022,Data Cabling ,3010,"34,175.33",No,N/A,N/A,s.18(1)(b),Yes,Other,Pty Ltd Company,None,Other,Pty Ltd Company,Not known,Determined,25-Mar-2022,N/A,N/A,N/A,N/A,Yes,29-Mar-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
209,16-Mar-2022,22-Mar-2022,Framing,3032,"58,040.00",Yes,s15,1.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,05-Apr-2022,N/A,N/A,N/A,N/A,N/A,N/A,"55,040.00",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
210,16-Mar-2022,21-Mar-2022,Roads project,3030,"42,300.00",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
211,17-Mar-2022,18-Mar-2022,Construction works,3978,"739,686.18",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
212,17-Mar-2022,18-Mar-2022,Construction works,3059,"652,608.07",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
213,17-Mar-2022,18-Mar-2022,Construction works,3978,"136,795.72",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
214,17-Mar-2022,23-Mar-2022,"Design, fabricate and install structural steel",3029,"88,990.64",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Determined,05-Apr-2022,N/A,N/A,N/A,N/A,Yes,06-Apr-2022,"88,109.00",,Hourly,"8,181.82",0.0000%,100.0000%,0.00,"8,181.82",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"2,727.27","5,454.55"
215,21-Mar-2022,24-Mar-2022,Landscaping works,3630,"1,100,140.90",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,Yes,Yes,Yes,N/A,N/A,0.00,,Hourly,"22,000.00",100.0000%,0.0000%,"22,000.00",0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,"3,300.00","18,700.00"
216,21-Mar-2022,N/A,Structural steel works,3844,"43,117.94",Yes,s15,"16,932.64",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
217,23-Mar-2022,29-Mar-2022,Concreting /surveying ,3004,"32,732.50",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,06-Apr-2022,N/A,N/A,N/A,N/A,Yes,08-Apr-2022,"32,732.50",,Hourly,"1,363.64",0.0000%,100.0000%,0.00,"1,363.64",Merchant Fees,9.82,N/A,Yes,300.00,06-May-2022,Merchant Fees,2.19,Yes,33.3300%,454.55,909.09
218,23-Mar-2022,29-Mar-2022,Installation of precast metals,3072,"93,934.23",Yes,s15,"29,291.76",s.18(1)(a)(i),No,Trade subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,No,N/A,,,,Fixed,N/A,,,,,,,,N/A,,,,,No,,,0.00
219,23-Mar-2022,25-Mar-2022,Structural steel works,3143,"17,940.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,04-Apr-2022,N/A,Yes,Yes,Yes,Yes,04-Apr-2022,"17,940.00",,Capped,"2,380.00",0.0000%,100.0000%,0.00,"2,380.00",N/A,N/A,0.00,Yes,0.00,12-Apr-2022,N/A,N/A,Yes,15.0000%,357.00,"2,023.00"
220,25-Mar-2022,N/A,Concreting works,3806,"15,624.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
221,25-Mar-2022,N/A,Construction works,3658,"8,395.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Other,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222,25-Mar-2022,31-Mar-2022,Design and construction for part demolition and construction ,3810,"264,887.83",Yes,s15,0.00,s.18(1)(a)(i),No,Head contractor,Pty Ltd Company,None,Other,Pty Ltd Company,None,Determined,13-Apr-2022,N/A,Yes,Yes,No,,17-May-2022,0.00,,Hourly,"22,027.50",50.0000%,50.0000%,"11,013.75","11,013.75",,,,No,,,,,Yes,15.0000%,"3,304.13","18,723.37"
223,25-Mar-2022,30-Mar-2022,"Sewer, Storm Water, Fire",3978,"739,686.18",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade Contractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not determined,Not determined,,Timed out,N/A,N/A,No,N/A,00-Jan-1900,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.00
224,25-Mar-2022,30-Mar-2022,"Sewer, Storm Water, Fire",3059,"652,608.07",Yes,s15,0.00,s.18(1)(a)(i),N/A,Other,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not determined,Not determined,,Timed out,N/A,N/A,No,N/A,00-Jan-1900,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.00
