




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
33,16-Jul-2021,21-Jul-2021,Architectural services,3163,"13,003.75",Yes,s15,0.00,s.18(1)(a)(i),N/A,Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
34,16-Jul-2021,N/A,Demolition of old veranda and build new veranda,3058,"9,047.27",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
35,19-Jul-2021,21-Jul-2021,Concreting works,3206,"24,300.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capped,"2,350.00",100.0000%,0.0000%,"2,350.00",0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,352.50,"1,997.50"
36,20-Jul-2021,26-Jul-2021,Plumbing works in townhouses,3058,"362,386.62",Yes,s15,"35,478.00",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,30-Jul-2021,N/A,No,N/A,No,Yes,04-Aug-2021,"254,726.71",n/a,Hourly,"4,909.09",30.0000%,70.0000%,"1,472.73","3,436.36",N/A,N/A,0.00,Yes,500.00,12-Aug-2021,N/A,N/A,Yes,33.3333%,"1,636.36","3,272.73"
37,20-Jul-2021,23-Jul-2021,Precast panel installation,3011,"56,564.72",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
38,20-Jul-2021,23-Jul-2021,Precast panel installation,3123,"14,721.36",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
39,20-Jul-2021,23-Jul-2021,Precast panel installation,3020,"8,863.64",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
40,20-Jul-2021,23-Jul-2021,Precast panel installation,3025,"8,345.45",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
41,20-Jul-2021,23-Jul-2021,Precast panel installation,3149,"4,418.18",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
42,20-Jul-2021,23-Jul-2021,Precast panel installation,3025,"3,768.76",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
43,20-Jul-2021,21-Jul-2021,Structural steel works,3053,"4,791.17",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
44,23-Jul-2021,28-Jul-2021,Construction of civil services for residential subdivision,3764,"90,624.44",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Trust,Solicitors,Determined,11-Aug-2021,N/A,Yes,Yes,No,Yes,16-Aug-2021,"37,001.15",N/A,Hourly,"7,772.73",0.0000%,100.0000%,0.00,"7,772.73",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"2,590.91","5,181.82"
45,23-Jul-2021,N/A,Structural engineering consultancy services,3039,"29,130.00",Yes,s15,"29,130.00",s.18(1)(a)(ii),N/A,Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
46,26-Jul-2021,27-Jul-2021,Painting works,3134,"30,008.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,16-Aug-2021,N/A,No,N/A,Yes,Yes,17-Aug-2021,"6,740.00",No,Capped,"3,500.00",50.0000%,50.0000%,"1,750.00","1,750.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
47,27-Jul-2021,N/A,Electrical works,3220,"27,773.68",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Developer,Other,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,28-Jul-2021,30-Jul-2021,Architect services for construction of apartments,3142,"33,169.63",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,Claim preparer,Developer,Sole Trader,Not known,Not determined,,Withdrawn by Claimant,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Hourly,"1,320.00",100.0000%,0.0000%,"1,320.00",0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,25.0000%,330.00,990.00
49,28-Jul-2021,03-Aug-2021,"Multi-level development of apartments, commercial area and basement",3070,"692,675.08",Yes,s18,"117,226.44",s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,16-Aug-2021,N/A,No,N/A,N/A,Yes,18-Aug-2021,"272,747.17",N/A,Hourly,"14,318.18",0.0000%,100.0000%,0.00,"14,318.18",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"4,772.73","9,545.45"
50,29-Jul-2021,03-Aug-2021,Site retention and excavation work,3079,"166,247.86",Yes,s15,"1,405.00",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,18-Aug-2021,N/A,No,N/A,No,Yes,20-Aug-2021,"111,807.27",No,Hourly,"5,318.18",0.0000%,100.0000%,0.00,"5,318.18",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"1,772.73","3,545.45"
51,30-Jul-2021,02-Aug-2021,Construction works,3066,"30,008.00",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Determined,09-Aug-2021,N/A,No,N/A,No,Yes,09-Aug-2021,"30,008.00",No,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,Yes,0.00,17-Aug-2021,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
